model/parameters,eval/mean_reward,eval/success_rate,time/total_timesteps,eval/mean_ep_length,model/extractor_type,rollout/success_rate,time/iterations,eval/seq_prediction_mse,time/time_elapsed,rollout/ep_rew_mean,eval/best_seq_prediction_mse,rollout/ep_len_mean,time/fps,train/std,train/entropy_loss,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/loss,train/clip_fraction,train/value_loss,train/clip_range,train/clip_range_vf
,-190.36380004882812,0.1,880000,183.1,,,,1.1751163482666016,,,,,,,,,,,,,,,,,
,,,884736,,,0.02,27,1.1776066720485687,2133,-243.8787841796875,,355.78,414,,,,,,,,,,,,
,-195.13290405273438,0.1,900000,220.7,,,,,,,,,,0.740818202495575,-4.256815433502197,0.4503641724586487,8.319001600000001e-05,0.00022593016910832375,108,0.0031080763,-0.0276127178221941,0.0454559326171875,0.02971291053108871,0.18230528000000001,0.2
,,,917504,,,0.01,28,1.069125658273697,2193,-236.4738311767578,,351.23,418,,,,,,,,,,,,
,-218.95022583007812,0.0,920000,205.7,,,,,,,,,,0.740818202495575,-4.256815433502197,0.4364194869995117,8.2567424e-05,0.00033740421349648386,112,0.003701618,-0.02593350037932396,0.0406341552734375,0.032668348285369575,0.18164992000000002,0.2
,-170.3558349609375,0.1,940000,113.6,,,,1.1098026156425476,,,,,,,,,,,,,,,,,
,,,950272,,,0.02,29,0.9696033477783204,2273,-237.4722137451172,,347.33,417,,,,,,,,,,,,
,-200.41209411621094,0.0,960000,150.3,,,,,,,,,,0.740818202495575,-4.256815433502197,0.35902947187423706,8.194483200000001e-05,0.000839496853586752,116,0.0032934074,-0.024990465492010117,0.06175994873046875,0.032600930193439126,0.18099456000000003,0.2
,-215.93185424804688,0.0,980000,290.8,,,,0.9812832474708557,,,,,,,,,,,,,,,,,
,,,983040,,,0.02,30,0.9886499106884002,2365,-238.2252197265625,,323.52,415,,,,,,,,,,,,
,-219.6897735595703,0.0,1000000,291.9,,,,,,,,,,0.740818202495575,-4.256815433502197,0.4083123803138733,8.132224000000001e-05,0.00039541031219414435,120,0.0046976367,-0.024152027443051338,0.0525360107421875,0.034822173009160906,0.1803392,0.2
,,,1015808,,,0.01,31,1.0660586714744569,2429,-244.34983825683594,,352.97,418,,,,,,,,,,,,
,-208.95675659179688,0.0,1020000,185.4,,,,,,,,,,0.740818202495575,-4.256815433502197,0.4943992495536804,8.069964800000001e-05,0.0004049489871249534,124,0.0031828992,-0.03435269370675087,0.04732513427734375,0.021197965019382536,0.17968384,0.2
,-213.34872436523438,0.0,1040000,255.1,,,,1.0420751392841339,,,,,,,,,,,,,,,,,
,,,1048576,,,0.03,32,1.162693476676941,2514,-240.6793975830078,,326.05,417,,,,,,,,,,,,
,-204.2156524658203,0.0,1060000,206.6,,,,,,,,,,0.740818202495575,-4.256815433502197,0.3788626790046692,8.0077056e-05,0.00036533555612550117,128,0.004091762,-0.027410805225372314,0.0467529296875,0.033226957253646106,0.17902848000000002,0.2
,-219.79751586914062,0.0,1080000,184.6,,,,1.0564005076885223,,,,,,,,,,,,,,,,,
,,,1081344,,,0.02,33,1.2950928807258606,2593,-244.5267333984375,,346.48,416,,,,,,,,,,,,
